baseline.a,from,to,t,p,lower,upper,t2,from_ordered
20,Healthy,Healthy,0.6000000000000001,0.9691,0.9629,0.9718,20.6,Otherwise healthy
20,INT,Healthy,0.6000000000000001,0,0,0,20.6,INT
20,CMD,Healthy,0.6000000000000001,0,0,0,20.6,CMD
20,INT->CMD,Healthy,0.6000000000000001,0,0,0,20.6,INT->CMD
20,CMD->INT,Healthy,0.6000000000000001,0,0,0,20.6,CMD -> INT
20,CVE,Healthy,0.6000000000000001,0,0,0,20.6,NA
20,Death,Healthy,0.6000000000000001,0,0,0,20.6,NA
20,Healthy,INT,0.6000000000000001,0.0223,0.0196975,0.027004999999999998,20.6,Otherwise healthy
20,INT,INT,0.6000000000000001,0.9861,0.9813,0.9927025,20.6,INT
20,CMD,INT,0.6000000000000001,0,0,0,20.6,CMD
20,INT->CMD,INT,0.6000000000000001,0,0,0,20.6,INT->CMD
20,CMD->INT,INT,0.6000000000000001,0,0,0,20.6,CMD -> INT
20,CVE,INT,0.6000000000000001,0,0,0,20.6,NA
20,Death,INT,0.6000000000000001,0,0,0,20.6,NA
20,Healthy,CMD,0.6000000000000001,0.0084,0.0068,0.010702499999999997,20.6,Otherwise healthy
20,INT,CMD,0.6000000000000001,0,0,0,20.6,INT
20,CMD,CMD,0.6000000000000001,0.9559,0.9437,0.9668025,20.6,CMD
20,INT->CMD,CMD,0.6000000000000001,0,0,0,20.6,INT->CMD
20,CMD->INT,CMD,0.6000000000000001,0,0,0,20.6,CMD -> INT
20,CVE,CMD,0.6000000000000001,0,0,0,20.6,NA
20,Death,CMD,0.6000000000000001,0,0,0,20.6,NA
20,Healthy,INT->CMD,0.6000000000000001,0,0,5e-4,20.6,Otherwise healthy
20,INT,INT->CMD,0.6000000000000001,0.0137,0.0069,0.0178025,20.6,INT
20,CMD,INT->CMD,0.6000000000000001,0,0,0,20.6,CMD
20,INT->CMD,INT->CMD,0.6000000000000001,0.9993,0.9977,0.9997,20.6,INT->CMD
20,CMD->INT,INT->CMD,0.6000000000000001,0,0,0,20.6,CMD -> INT
20,CVE,INT->CMD,0.6000000000000001,0,0,0,20.6,NA
20,Death,INT->CMD,0.6000000000000001,0,0,0,20.6,NA
20,Healthy,CMD->INT,0.6000000000000001,0,0,5e-4,20.6,Otherwise healthy
20,INT,CMD->INT,0.6000000000000001,0,0,0,20.6,INT
20,CMD,CMD->INT,0.6000000000000001,0.0426,0.031397499999999995,0.054502499999999995,20.6,CMD
20,INT->CMD,CMD->INT,0.6000000000000001,0,0,0,20.6,INT->CMD
20,CMD->INT,CMD->INT,0.6000000000000001,0.9997,0.993095,1,20.6,CMD -> INT
20,CVE,CMD->INT,0.6000000000000001,0,0,0,20.6,NA
20,Death,CMD->INT,0.6000000000000001,0,0,0,20.6,NA
20,Healthy,CVE,0.6000000000000001,2e-4,0,3e-4,20.6,Otherwise healthy
20,INT,CVE,0.6000000000000001,1e-4,0,6e-4,20.6,INT
20,CMD,CVE,0.6000000000000001,0.0014,3e-4,0.003,20.6,CMD
20,INT->CMD,CVE,0.6000000000000001,7e-4,2e-4,0.002202499999999998,20.6,INT->CMD
20,CMD->INT,CVE,0.6000000000000001,3e-4,0,0.006709999999999991,20.6,CMD -> INT
20,CVE,CVE,0.6000000000000001,1,1,1,20.6,NA
20,Death,CVE,0.6000000000000001,0,0,0,20.6,NA
20,Healthy,Death,0.6000000000000001,0,0,2e-4,20.6,Otherwise healthy
20,INT,Death,0.6000000000000001,1e-4,0,9e-4,20.6,INT
20,CMD,Death,0.6000000000000001,1e-4,0,0.0013024999999999977,20.6,CMD
20,INT->CMD,Death,0.6000000000000001,0,0,4e-4,20.6,INT->CMD
20,CMD->INT,Death,0.6000000000000001,0,0,4e-4,20.6,CMD -> INT
20,CVE,Death,0.6000000000000001,0,0,0,20.6,NA
20,Death,Death,0.6000000000000001,1,1,1,20.6,NA
20,Healthy,Healthy,0.7000000000000001,0.9648,0.9576925,0.966705,20.7,Otherwise healthy
20,INT,Healthy,0.7000000000000001,0,0,0,20.7,INT
20,CMD,Healthy,0.7000000000000001,0,0,0,20.7,CMD
20,INT->CMD,Healthy,0.7000000000000001,0,0,0,20.7,INT->CMD
20,CMD->INT,Healthy,0.7000000000000001,0,0,0,20.7,CMD -> INT
20,CVE,Healthy,0.7000000000000001,0,0,0,20.7,NA
20,Death,Healthy,0.7000000000000001,0,0,0,20.7,NA
20,Healthy,INT,0.7000000000000001,0.025,0.0230975,0.030902499999999996,20.7,Otherwise healthy
20,INT,INT,0.7000000000000001,0.9842,0.9788,0.9915025000000001,20.7,INT
20,CMD,INT,0.7000000000000001,0,0,0,20.7,CMD
20,INT->CMD,INT,0.7000000000000001,0,0,0,20.7,INT->CMD
20,CMD->INT,INT,0.7000000000000001,0,0,0,20.7,CMD -> INT
20,CVE,INT,0.7000000000000001,0,0,0,20.7,NA
20,Death,INT,0.7000000000000001,0,0,0,20.7,NA
20,Healthy,CMD,0.7000000000000001,0.0099,0.0079,0.0123,20.7,Otherwise healthy
20,INT,CMD,0.7000000000000001,0,0,0,20.7,INT
20,CMD,CMD,0.7000000000000001,0.9481,0.936395,0.9621,20.7,CMD
20,INT->CMD,CMD,0.7000000000000001,0,0,0,20.7,INT->CMD
20,CMD->INT,CMD,0.7000000000000001,0,0,0,20.7,CMD -> INT
20,CVE,CMD,0.7000000000000001,0,0,0,20.7,NA
20,Death,CMD,0.7000000000000001,0,0,0,20.7,NA
20,Healthy,INT->CMD,0.7000000000000001,0,0,6e-4,20.7,Otherwise healthy
20,INT,INT->CMD,0.7000000000000001,0.0156,0.0080950000000000015,0.0199025,20.7,INT
20,CMD,INT->CMD,0.7000000000000001,0,0,0,20.7,CMD
20,INT->CMD,INT->CMD,0.7000000000000001,0.9989,0.9975,0.9997,20.7,INT->CMD
20,CMD->INT,INT->CMD,0.7000000000000001,0,0,0,20.7,CMD -> INT
20,CVE,INT->CMD,0.7000000000000001,0,0,0,20.7,NA
20,Death,INT->CMD,0.7000000000000001,0,0,0,20.7,NA
20,Healthy,CMD->INT,0.7000000000000001,1e-4,0,6e-4,20.7,Otherwise healthy
20,INT,CMD->INT,0.7000000000000001,0,0,0,20.7,INT
20,CMD,CMD->INT,0.7000000000000001,0.0502,0.036295,0.0621025,20.7,CMD
20,INT->CMD,CMD->INT,0.7000000000000001,0,0,0,20.7,INT->CMD
20,CMD->INT,CMD->INT,0.7000000000000001,0.9997,0.991985,1,20.7,CMD -> INT
20,CVE,CMD->INT,0.7000000000000001,0,0,0,20.7,NA
20,Death,CMD->INT,0.7000000000000001,0,0,0,20.7,NA
20,Healthy,CVE,0.7000000000000001,2e-4,0,4e-4,20.7,Otherwise healthy
20,INT,CVE,0.7000000000000001,1e-4,0,7e-4,20.7,INT
20,CMD,CVE,0.7000000000000001,0.0016,4e-4,0.0034024999999999975,20.7,CMD
20,INT->CMD,CVE,0.7000000000000001,0.0011,3e-4,0.0024,20.7,INT->CMD
20,CMD->INT,CVE,0.7000000000000001,3e-4,0,0.007814999999999985,20.7,CMD -> INT
20,CVE,CVE,0.7000000000000001,1,1,1,20.7,NA
20,Death,CVE,0.7000000000000001,0,0,0,20.7,NA
20,Healthy,Death,0.7000000000000001,0,0,2e-4,20.7,Otherwise healthy
20,INT,Death,0.7000000000000001,1e-4,0,9e-4,20.7,INT
20,CMD,Death,0.7000000000000001,1e-4,0,0.0015024999999999978,20.7,CMD
20,INT->CMD,Death,0.7000000000000001,0,0,4e-4,20.7,INT->CMD
20,CMD->INT,Death,0.7000000000000001,0,0,4e-4,20.7,CMD -> INT
20,CVE,Death,0.7000000000000001,0,0,0,20.7,NA
20,Death,Death,0.7000000000000001,1,1,1,20.7,NA
20,Healthy,Healthy,0.8,0.9596,0.9517,0.9620025,20.8,Otherwise healthy
20,INT,Healthy,0.8,0,0,0,20.8,INT
